,price_numeric,Height,Width,Uniqueness,gender_guessed,gallery,painting,is_signed,age,years_selling,location,image_path
560,1943.0,43.3,33.5,Unique,unknown,gallery,other,signed,4.0,8.0,other,images_thesis\1162956_1_m.jpg
8048,765.0,19.7,25.6,Unique,female,gallery,oil,signed,4.0,5.0,other,images_thesis\1127667_1_m.jpg
10378,844.0,27.6,35.4,Unique,male,gallery,oil,signed,5.0,1.0,Ukraine,images_thesis\2291320_1_m.jpg
10539,2750.0,36.0,35.5,Unique,unknown,gallery,other,signed,3.0,3.0,other,images_thesis\1764681_1_m.jpg
10938,4008.0,28.7,36.2,Unique,unknown,gallery,oil,signed,0.0,4.0,France,images_thesis\2312768_1_m.jpg
4800,340.0,5.5,5.5,Unique,female,gallery,other,signed,5.0,8.0,other,images_thesis\738579_1_m.jpg
8225,1200.0,16.0,11.75,Unique,male,gallery,acrylic,signed,7.0,6.0,United States,images_thesis\1019673_1_m.jpg
3340,134.0,19.7,26.0,Unique,male,gallery,acrylic,signed,6.0,10.0,France,images_thesis\1213212_1_m.jpg
18164,448.0,7.9,23.6,Unique,female,gallery,oil,signed,2.0,9.0,France,images_thesis\2310200_1_m.jpg
19310,8291.0,63.0,63.0,Unique,female,gallery,acrylic,signed,14.0,8.0,France,images_thesis\2325257_1_m.jpg
1099,5100.0,60.0,48.0,Unique,unknown,gallery,other,signed,0.0,3.0,other,images_thesis\2296667_1_m.jpg
19193,7872.0,47.2,47.2,Unique,male,independent,other,signed,5.0,5.0,other,images_thesis\1572015_1_m.jpg
574,2794.0,23.6,31.5,Unique,female,gallery,acrylic,signed,1.0,10.0,other,images_thesis\2181292_1_m.jpg
5107,972.0,39.4,39.4,Unique,female,independent,acrylic,signed,7.0,3.0,other,images_thesis\1793799_1_m.jpg
7553,18400.0,51.0,51.0,Unique,male,gallery,other,signed,13.0,4.0,other,images_thesis\2082948_1_m.jpg
16412,3028.0,59.1,19.7,Unique,male,gallery,other,signed,0.0,4.0,France,images_thesis\2312099_1_m.jpg
1552,1032.0,23.6,31.5,Unique,unknown,independent,acrylic,signed,5.0,3.0,France,images_thesis\1463784_1_m.jpg
9256,2368.0,47.2,39.4,Unique,male,independent,acrylic,signed,4.0,3.0,other,images_thesis\1607742_1_m.jpg
4366,5344.0,39.4,39.4,Unique,unknown,gallery,other,signed,0.0,9.0,France,images_thesis\2329895_1_m.jpg
3200,642.0,12.0,12.0,Unique,female,gallery,acrylic,signed,0.0,4.0,other,images_thesis\2302876_1_m.jpg
12648,777.0,19.7,19.7,Unique,unknown,gallery,oil,signed,10.0,1.0,Ukraine,images_thesis\2263269_1_m.jpg
6289,10324.0,23.6,31.5,Unique,male,gallery,oil,signed,36.0,6.0,other,images_thesis\725031_1_m.jpg
16990,969.0,39.4,31.5,Unique,male,gallery,acrylic,signed,5.0,9.0,France,images_thesis\1195575_1_m.jpg
7120,1215.0,41.7,55.1,Unique,male,gallery,other,signed,4.0,3.0,other,images_thesis\1601997_1_m.jpg
18354,5000.0,48.0,48.0,Unique,male,independent,acrylic,signed,11.0,6.0,United States,images_thesis\590556_1_m.jpg
6125,5830.0,39.4,31.9,Unique,male,gallery,oil,signed,13.0,12.0,France,images_thesis\10019_1_m.jpg
1458,413.0,15.7,11.8,Unique,unknown,independent,oil,signed,10.0,4.0,France,images_thesis\1750695_1_m.jpg
4152,2429.0,59.1,39.4,Unique,female,gallery,acrylic,signed,13.0,3.0,Spain,images_thesis\2221663_1_m.jpg
3655,1093.0,15.7,15.7,Unique,unknown,gallery,oil,signed,7.0,10.0,other,images_thesis\1211646_1_m.jpg
12348,316.0,11.8,15.7,Unique,male,gallery,oil,signed,1.0,1.0,Ukraine,images_thesis\2292522_1_m.jpg
8037,2417.0,21.7,18.1,Unique,female,independent,oil,signed,11.0,3.0,France,images_thesis\1609008_1_m.jpg
16273,2400.0,36.0,24.0,Unique,unknown,gallery,other,signed,0.0,3.0,other,images_thesis\2327763_1_m.jpg
1972,972.0,28.7,23.6,Unique,male,gallery,other,signed,4.0,4.0,other,images_thesis\1383810_1_m.jpg
8498,2647.0,39.4,59.1,Unique,male,independent,acrylic,signed,1.0,3.0,other,images_thesis\2182645_1_m.jpg
4509,850.0,8.3,11.8,Unique,female,gallery,other,signed,1.0,10.0,France,images_thesis\2275056_1_m.jpg
12038,17005.0,34.6,79.9,Unique,male,gallery,other,signed,4.0,10.0,United States,images_thesis\2299463_1_m.jpg
3826,18000.0,78.7,78.7,Unique,unknown,gallery,other,signed,20.0,5.0,United States,images_thesis\2317909_1_m.jpg
12853,3028.0,47.2,47.2,Unique,male,independent,acrylic,signed,1.0,1.0,other,images_thesis\2320004_1_m.jpg
655,1458.0,23.6,23.6,Unique,male,gallery,other,signed,4.0,9.0,France,images_thesis\1021191_1_m.jpg
16638,775.0,11.8,11.8,Unique,female,independent,oil,signed,1.0,5.0,France,images_thesis\2281448_1_m.jpg
11890,607.0,19.7,15.7,Unique,male,independent,other,signed,0.0,1.0,other,images_thesis\2314609_1_m.jpg
1359,1700.0,15.7,11.8,Unique,male,gallery,oil,signed,3.0,5.0,other,images_thesis\2166090_1_m.jpg
8769,1822.0,19.7,19.7,Unique,female,independent,oil,signed,6.0,3.0,other,images_thesis\2138061_1_m.jpg
15444,969.0,19.7,23.6,Unique,unknown,gallery,oil,signed,4.0,10.0,France,images_thesis\1488816_1_m.jpg
1604,6680.0,63.8,51.2,Unique,male,gallery,acrylic,signed,3.0,12.0,France,images_thesis\2242841_1_m.jpg
18073,3512.0,27.6,39.4,Unique,unknown,gallery,other,signed,9.0,11.0,France,images_thesis\810474_1_m.jpg
10560,850.0,23.6,7.9,Unique,unknown,gallery,acrylic,signed,4.0,11.0,France,images_thesis\1181448_1_m.jpg
19335,1423.0,21.3,25.6,Unique,female,gallery,oil,signed,1.0,9.0,Spain,images_thesis\2300849_1_m.jpg
9322,790.0,23.6,23.6,Unique,unknown,gallery,acrylic,signed,1.0,3.0,Spain,images_thesis\2308200_1_m.jpg
6956,486.0,15.7,11.8,Unique,female,gallery,acrylic,not signed,4.0,12.0,France,images_thesis\1947534_1_m.jpg
1028,950.0,20.0,16.0,Unique,female,gallery,other,signed,2.0,3.0,other,images_thesis\2311550_1_m.jpg
11004,2672.0,39.4,31.9,Unique,female,gallery,oil,signed,6.0,10.0,France,images_thesis\917808_1_m.jpg
19611,727.0,28.7,23.6,Unique,male,gallery,acrylic,signed,18.0,5.0,France,images_thesis\1199109_1_m.jpg
4693,972.0,8.0,12.0,Unique,unknown,gallery,other,signed,4.0,4.0,United States,images_thesis\1357218_1_m.jpg
685,1032.0,31.5,31.5,Unique,male,gallery,other,signed,8.0,9.0,France,images_thesis\186247_1_m.jpg
