price_numeric,Height,Width,Uniqueness,gender_guessed,gallery,painting,is_signed,age,years_selling,location,image_path
1883.0,23.6,23.6,Unique,male,gallery,other,signed,3.0,11.0,other,images_thesis\2198749_1_m.jpg
1215.0,39.4,39.4,Unique,female,gallery,acrylic,signed,14.0,9.0,France,images_thesis\419556_1_m.jpg
3149.0,30.3,24.0,Unique,unknown,gallery,other,signed,2.0,9.0,France,images_thesis\1937268_1_m.jpg
1180.0,24.0,24.0,Unique,female,gallery,acrylic,signed,2.0,5.0,United States,images_thesis\2280254_1_m.jpg
103.0,11.8,15.7,Unique,male,independent,other,signed,1.0,7.0,France,images_thesis\2176889_1_m.jpg
363.0,15.7,15.7,Unique,male,independent,other,signed,2.0,7.0,France,images_thesis\1760946_1_m.jpg
2664.0,37.0,25.2,Unique,unknown,gallery,oil,not signed,1.0,3.0,Ukraine,images_thesis\2199273_1_m.jpg
1154.0,23.6,23.6,Unique,male,independent,oil,signed,6.0,3.0,other,images_thesis\1648644_1_m.jpg
972.0,57.1,42.1,Unique,unknown,gallery,acrylic,signed,4.0,2.0,other,images_thesis\2141974_1_m.jpg
3149.0,36.2,28.7,Unique,male,gallery,oil,signed,1.0,11.0,France,images_thesis\2294731_1_m.jpg
668.0,8.0,6.0,Unique,unknown,gallery,other,signed,2.0,10.0,France,images_thesis\2287752_1_m.jpg
1032.0,19.7,25.2,Unique,female,independent,oil,signed,3.0,6.0,France,images_thesis\1318938_1_m.jpg
3037.0,41.3,59.1,Unique,female,independent,acrylic,signed,1.0,4.0,Spain,images_thesis\2219420_1_m.jpg
1615.0,28.7,36.1,Unique,male,gallery,oil,signed,72.0,6.0,other,images_thesis\1095465_1_m.jpg
2398.0,35.4,35.4,Unique,unknown,gallery,acrylic,signed,1.0,8.0,France,images_thesis\2288780_1_m.jpg
972.0,31.9,39.4,Unique,male,gallery,other,signed,3.0,10.0,France,images_thesis\1790622_1_m.jpg
3644.0,39.4,39.4,Unique,unknown,gallery,acrylic,signed,3.0,2.0,other,images_thesis\2139156_1_m.jpg
1202.0,14.2,16.9,Unique,unknown,gallery,other,signed,1.0,11.0,France,images_thesis\2274302_1_m.jpg
6055.0,47.2,59.1,Unique,male,independent,other,signed,8.0,3.0,other,images_thesis\1488603_1_m.jpg
5527.0,47.2,33.5,Unique,female,gallery,oil,signed,2.0,4.0,Spain,images_thesis\2217857_1_m.jpg
1100.0,21.3,17.3,Unique,female,gallery,other,signed,3.0,1.0,United States,images_thesis\2254624_1_m.jpg
3028.0,45.3,35.0,Unique,unknown,gallery,acrylic,signed,3.0,5.0,France,images_thesis\2028207_1_m.jpg
2429.0,39.4,47.2,Unique,female,gallery,other,signed,3.0,10.0,France,images_thesis\1906983_1_m.jpg
727.0,19.7,23.6,Unique,female,gallery,oil,signed,10.0,10.0,France,images_thesis\1173987_1_m.jpg
945.0,12.6,8.3,Unique,female,independent,acrylic,signed,2.0,3.0,France,images_thesis\1778121_1_m.jpg
450.0,19.7,15.7,Unique,unknown,gallery,oil,signed,2.0,2.0,other,images_thesis\2108433_1_m.jpg
486.0,7.9,7.9,Unique,unknown,gallery,acrylic,signed,3.0,11.0,France,images_thesis\1333848_1_m.jpg
1182.0,9.4,13.0,Unique,male,gallery,oil,signed,88.0,6.0,other,images_thesis\1976715_1_m.jpg
753.0,15.7,47.2,Unique,female,independent,acrylic,signed,1.0,4.0,Spain,images_thesis\2192626_1_m.jpg
1756.0,35.4,33.5,Unique,female,gallery,oil,signed,0.0,3.0,other,images_thesis\2296373_1_m.jpg
972.0,27.6,19.7,Unique,unknown,gallery,other,signed,1.0,3.0,Ukraine,images_thesis\2321044_1_m.jpg
1275.0,45.7,35.0,Unique,male,gallery,other,signed,1.0,10.0,France,images_thesis\2192900_1_m.jpg
2301.0,31.5,31.5,Unique,unknown,gallery,acrylic,signed,4.0,1.0,France,images_thesis\2262838_1_m.jpg
969.0,26.4,22.0,Unique,male,gallery,oil,signed,3.0,6.0,other,images_thesis\1961199_1_m.jpg
727.0,15.0,18.1,Unique,unknown,gallery,other,signed,5.0,8.0,France,images_thesis\790422_1_m.jpg
