,price_numeric,Height,Width,Uniqueness,gender_guessed,gallery,painting,is_signed,age,years_selling,location,image_path,url
20707,5450.0,48.8,39.4,Unique,unknown,gallery,oil,not signed,1.0,3.0,Ukraine,images_thesis\2259582_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2259582/beyond-stability
20708,2500.0,30.0,22.5,Unique,female,independent,other,signed,1.0,6.0,United States,images_thesis\2259571_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2259571/nature-collection-no-3
20709,1090.0,18.1,11.8,Unique,female,independent,other,signed,1.0,4.0,France,images_thesis\2254582_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2254582/paysage-du-levant
20710,1453.0,14.2,11.0,Unique,female,independent,other,signed,1.0,4.0,France,images_thesis\2254545_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2254545/souffle-dor
20711,2846.0,28.7,45.7,Unique,female,independent,other,signed,1.0,1.0,France,images_thesis\2248476_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2248476/un-printemps-sakura
20712,1217.0,18.1,15.0,Unique,male,gallery,oil,signed,79.0,6.0,other,images_thesis\2247098_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2247098/la-villa
20713,6055.0,39.4,31.5,Unique,female,gallery,other,signed,1.0,10.0,France,images_thesis\2246770_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2246770/paradoxe
20714,593.0,23.6,19.7,Unique,female,gallery,other,signed,1.0,4.0,other,images_thesis\2242142_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2242142/our-little-adventures
20715,1696.0,21.7,21.7,Unique,female,gallery,oil,signed,2.0,3.0,other,images_thesis\2241897_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2241897/girl-with-earring
20716,795.0,24.0,24.0,Unique,male,gallery,acrylic,signed,4.0,3.0,United States,images_thesis\2241370_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2241370/a-song-for-the-earth
20717,675.0,24.0,18.0,Unique,male,gallery,acrylic,signed,4.0,3.0,United States,images_thesis\2241369_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2241369/changes
20718,700.0,23.0,20.0,Unique,female,gallery,oil,signed,4.0,3.0,United States,images_thesis\2241351_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2241351/homme-revant
20719,845.0,14.0,11.0,Unique,female,gallery,oil,signed,3.0,3.0,United States,images_thesis\2241130_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2241130/sliding-chair-views-vantage-points
20720,3633.0,78.7,39.4,Unique,unknown,gallery,other,signed,2.0,6.0,France,images_thesis\2231460_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2231460/tag-n2302
20721,3633.0,41.3,45.3,Unique,unknown,gallery,oil,not signed,1.0,3.0,Ukraine,images_thesis\2231001_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2231001/summer-dreams
20722,2422.0,47.2,23.6,Unique,female,independent,oil,signed,21.0,1.0,France,images_thesis\2228501_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2228501/boiserie-baroque-rouge-et-ivoire
20723,4723.0,34.3,52.4,Unique,unknown,gallery,other,signed,3.0,12.0,France,images_thesis\2217835_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2217835/temps-mort
20724,2422.0,15.7,19.7,Unique,unknown,gallery,other,signed,4.0,9.0,France,images_thesis\2217025_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2217025/voyou-gold
20725,2422.0,21.3,25.6,Unique,male,gallery,other,signed,5.0,9.0,France,images_thesis\2216252_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2216252/une-terrasse-en-ville
20726,484.0,30.3,13.0,Unique,male,gallery,other,signed,3.0,1.0,other,images_thesis\2206648_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2206648/enso3
20727,1926.0,29.9,39.4,Unique,male,independent,oil,signed,1.0,3.0,other,images_thesis\2203897_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2203897/overlay
20728,908.0,7.5,10.6,Unique,unknown,gallery,other,signed,39.0,3.0,Spain,images_thesis\2201306_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2201306/fabrica-de-espadas
20729,700.0,24.4,19.7,Unique,unknown,gallery,oil,signed,1.0,2.0,other,images_thesis\2201266_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2201266/poppys-palette
20730,6055.0,55.1,55.1,Unique,male,independent,other,signed,1.0,3.0,other,images_thesis\2201107_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2201107/compuvas
20731,1696.0,23.6,47.2,Unique,male,independent,other,signed,1.0,3.0,other,images_thesis\2199994_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2199994/a-bold-expectation
20732,969.0,7.1,5.5,Unique,female,independent,other,signed,1.0,1.0,France,images_thesis\2199835_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2199835/introspection-12
